,genes,values
579,ZNF8,-4.546886
580,HERC2,1.640269
581,RPL32,-0.124943145
582,RORC,-0.13130136
583,GRIK2,0.60109025
584,POLA1,4.4319224
585,GLG1,-0.27285767
586,ZNF81,0.33343387
587,POLL,-2.3447208
588,RRM2,2.3678956
589,NUP98,-4.536102
590,NADSYN1,1.6008992
591,WNT8B,-7.5021825
592,SAT1,3.5893993
593,AK4,-5.118119
594,IL3RA,2.6568043
595,CYP3A5,-2.576367
596,SEC23A,0.38647473
597,NTN1,0.1035579
598,RPL5,-0.04596813
599,SNX5,-2.8513172
600,AP3B1,1.4423555
601,PARP2,-2.3570614
602,KRT24,1.1174549
603,HUWE1,-2.8351662
604,FLOT1,1.4803088
605,RALGAPB,1.3262062
606,GMDS,-4.243391
607,CNTN1,1.0397013
608,FLNC,2.2391505
609,IL9R,-3.5614116
610,B4GALNT4,2.4993932
611,TGFB3,-0.14173216
612,PDX1,-8.726294
613,MAP3K3,0.37192553
614,RPLP2,-0.035057645
615,OR5M11,-0.049017835
616,MAPK8IP2,-0.39117116
617,RGS9,-2.2132277
618,CD19,-21.282934
619,TAF4B,0.79545474
620,KMT2C,-4.2938013
621,FADS2,10.474418
622,MASP2,-5.4240723
623,SLC1A7,7.1826286
624,TXNRD2,2.1309285
625,IL1A,-0.78416896
626,BLNK,1.9745282
627,GNG7,-3.5286527
628,LSM3,-6.1296105
629,MOCS1,-0.4701767
630,HTR2C,-2.6584828
631,SIRT5,0.27884346
632,KRT15,1.5696621
633,NCK1,-0.67786485
634,WASF3,1.5061105
635,TRPV4,1.0680876
636,VTN,5.5224795
637,MST1R,-0.094974406
638,MED12L,-0.7833691
639,NDUFA1,2.0914648
640,COL12A1,-0.0049456875
641,NPNT,0.5138267
642,EGFR,-10.572191
643,CHEK1,5.4959736
644,TGFBR1,-15.531193
645,IL6,-3.7520158
646,EPOR,2.98809
647,INHBA,0.56153804
648,NTS,1.4578134
649,CCNT1,-0.065591164
650,GABRR2,-1.063214
651,ELF5,-5.045007
652,KPNB1,3.0443068
653,HS3ST3B1,-1.1733512
654,FMO3,9.477869
655,CSGALNACT2,-0.7762388
656,RPL27A,0.19249834
657,RPS15,-0.38786677
658,ORC3,-0.92772764
659,MIOX,15.098498
660,RPL35,0.45845658
661,DNAH5,-6.4387693
662,EDEM3,0.59582996
663,SMAD1,-11.16402
664,TRIP12,0.63200766
665,CD1A,0.9462257
666,TH,10.209975
667,APC,10.206008
668,MYL12B,6.625053
669,CYP26A1,-0.094707645
670,CNTNAP2,0.30615315
671,PLIN4,1.0415851
672,NFATC3,13.205763
673,RPS7,-0.044762056
674,CASP2,-1.5086591
