,genes,values
407,DEPDC5,0.09119938
408,POP1,1.2375438
409,RPS6KB1,3.0694063
410,FARSA,0.07097302
411,PF4V1,-6.163314
412,BMPR1A,3.793426
413,TRA2B,-0.24546216
414,OR10A6,4.8096213
415,PTH2R,0.05409731
416,AQP2,-1.762535
417,NPY1R,3.0439093
418,SOX4,6.4426966
419,PARVB,0.0028554301
420,TELO2,5.1457205
421,SF3B2,-1.0638385
422,CARD16,1.7253467
423,DNAH11,0.03128532
424,TOP3B,4.0705194
425,OR10G9,-7.790389
426,MGAT5B,-0.5324461
427,XPO1,-3.507438
428,MPV17L,0.034667592
429,CCR9,3.670479
430,GPAA1,-1.0770906
431,SLC38A2,-8.214237
432,CYP4F8,4.4444103
433,SLC24A4,-0.5736798
434,B3GALT6,5.035229
435,GALNT18,1.0129595
436,HHAT,-0.025436923
437,ZNF780B,-3.0384505
438,LAMA3,-0.22348127
439,TNN,-3.0296574
440,WNT5A,-3.5093575
441,ZNF556,0.15380242
442,DGAT2,2.7770727
443,PNPT1,0.63624054
444,ZNF112,2.5896947
445,GRK1,1.2881628
446,UBE2Q2,-0.4637424
447,ZNF479,-2.5670426
448,GBP2,1.1119518
449,OR2S2,-8.547147
450,IFNA16,2.8912466
451,IDI1,0.33438882
452,SELPLG,6.325934
453,GSDMD,-2.5575347
454,PRKAG1,-2.536423
455,DGKH,-12.1630125
456,GLDC,5.6097703
457,ACSM3,3.619381
458,MAGED1,-1.8542992
459,AR,-0.6138542
460,EXTL3,-1.0662055
461,SF3B3,-1.1430582
462,TCOF1,1.0404187
463,ZNF761,0.52890056
464,MKNK1,-5.2631183
465,STX16,-2.2731442
466,PTK2,4.5023413
467,PRKAG3,8.739313
468,FLAD1,-2.7998736
469,NEU3,-10.328459
470,FOS,10.120461
471,CYP11B1,-1.2854316
472,KCNJ10,3.430503
473,LMNA,5.1306143
474,TUBB,-12.242196
475,OR2T10,3.152572
476,CYP27C1,-0.11981362
477,WNT9B,0.64551795
478,AGMAT,-0.7462212
479,IFNW1,11.32722
480,VTN,7.146773
481,UBE2S,-0.6720146
482,UBE4A,0.17195696
483,ZNF195,-0.6268562
484,CHST2,-0.031497188
485,MTHFR,-1.4430624
486,CDS1,-4.8051677
487,PDX1,7.653022
488,HDC,4.782983
489,ACSS3,-1.0271637
490,TCIRG1,3.2331636
491,CLDN19,-3.4319983
492,EDEM2,-4.579306
493,PLIN2,-0.645865
494,CRHR2,-0.014608006
495,TJAP1,-0.8550599
496,BCL2,13.619483
