,genes,values
851,ZNF30,-1.6431808
852,DHRS11,0.6020593
853,POLE,-1.162104
854,ABO,-0.78227293
855,ASPDH,-0.13822232
856,E2F3,0.8550442
857,S1PR4,0.28861877
858,ZNF433,-4.860106
859,GNAZ,-0.95642585
860,ULK1,-5.7889585
861,MANBA,0.9511123
862,WNT2,-0.54933345
863,DEGS1,-2.8399258
864,POLD3,-0.45183012
865,SLITRK3,3.7503412
866,SF3B1,0.36315176
867,FGF1,1.1636832
868,PHKA1,-1.8660296
869,TRAF2,4.5085464
870,CYP2C9,1.3335577
871,AHCY,1.4225903
872,DYNC1I1,-0.02924729
873,ZNF726,3.4134295
874,IRAK3,-1.4107797
875,SUPT3H,-5.829026
876,BCO1,-1.4113777
877,STMN1,1.2570721
878,GCDH,1.2915652
879,BIRC3,-4.439557
880,AKR1D1,-0.7094952
881,CYP3A43,0.02481859
882,ZNF891,-5.055553
883,SFRP4,0.16743559
884,GZMB,-1.3881603
885,GRID1,-0.49627423
886,KCNJ2,-1.6510189
887,MCM3,-0.49722406
888,IRAK2,-0.70622855
889,ADRB1,0.9274762
890,RPL23A,-0.63014203
891,IL1RL1,2.4188356
892,EIF2B4,2.4221327
893,TTK,0.202207
894,ALS2,0.9584175
895,MLF1,-3.0199897
896,PDSS1,0.07129353
897,QRSL1,0.46470466
898,FANCA,-1.1970452
899,GRK6,-3.2244062
900,CXCR6,-0.028556459
901,ELMO1,0.60575175
902,TNNC1,-0.7706629
903,DGKG,-0.6662826
904,SEMA7A,-0.17391375
905,SLC19A1,-2.3877392
906,CDCA5,-1.7646613
907,CCL21,1.6766324
908,PHAX,0.5490207
909,RPL19,-1.3056592
910,RPS7,-0.5280729
911,CHKB,-0.6821015
912,GMPR,-0.15422687
913,ZNF530,-4.425258
914,FOSB,1.3033761
915,FARSB,1.3479843
916,RP9,-1.0542444
917,CKMT2,-0.8771473
918,TNFSF13,-1.095292
919,POLE3,0.76515114
920,GOSR2,-0.90820634
921,COQ6,0.1544467
922,NDST2,-0.33292213
923,KCNJ15,-0.58327854
924,RABEP1,-1.6974641
925,ZNF675,5.5985413
926,E2F1,4.4368362
927,UBB,0.6330776
928,TXNL4A,-0.06569056
929,FMO1,3.9402077
930,FHIT,-0.05422109
931,ABCC3,-0.46476978
932,EGF,1.8546149
933,CPT1B,3.0768764
934,PPM1D,0.34384918
935,YWHAH,-5.729724
936,CDC7,0.31830308
937,PDCD1,4.0625544
938,NOP58,0.008958265
939,FBXO43,-0.0029619045
940,GXYLT2,-0.37047437
941,PDE2A,1.6498085
942,RAD51D,2.2637956
943,SLC5A1,1.4138386
944,PHOSPHO2,-0.11559138
945,TACR2,-0.43800998
946,SFRP5,0.22986962
947,ENPP6,1.002883
948,PRKACB,-2.985739
949,CHST4,1.4383371
950,BUB1,-1.5467023
951,RASSF1,3.1695867
952,TXNRD1,0.84738404
953,ADSL,0.5400747
954,ZBP1,-4.4128866
955,GNAO1,-4.3920593
956,SLC22A1,0.078111865
957,ORC2,0.40273717
958,ZNF682,-2.15967
959,FFAR2,-0.10848905
960,LAPTM4B,0.10853164
961,DKC1,-0.111086965
962,LMNB1,-1.0907964
963,MAML3,-0.123300165
964,ABCC5,-0.2709541
965,PCCB,-4.6943626
966,MAP3K14,-3.7777545
967,SUMO4,0.44265014
968,SSX2IP,-1.0439026
969,RILP,0.082788825
970,NRCAM,-3.5096521
971,RRM1,6.263605
972,PRPF18,0.014750665
973,RPSA,-1.4805689
974,MCHR1,-0.37107766
975,FXYD2,2.1006017
976,LPAR2,-2.8892398
977,BLVRA,-0.36957893
978,DDX42,1.1646928
979,CHSY3,-0.95939314
980,ADCY4,19.00418
981,TRPC4,-0.34287104
982,CD3E,-0.79141945
983,LYPD6B,-0.27568457
984,SPX,-0.05031337
985,APPL1,-0.24994586
986,AOC2,-1.4577785
