,genes,values
829,PLK2,-1.1029736
830,SCRIB,1.7417413
831,PILRA,-0.04618311
832,KLK2,0.58511245
833,BRK1,0.9025332
834,OR2M5,6.021133
835,DUSP4,-0.032700054
836,DNM1L,-0.0665511
837,ZNF614,1.5142075
838,DYNC2H1,0.9084137
839,CCL1,0.312029
840,NUP155,-0.8424529
841,OR2A1,-5.9326277
842,OR8K1,0.6763326
843,TELO2,-0.7529357
844,TJP3,-1.426492
845,IDI2,2.799004
846,SLC12A2,-1.9202304
847,GCDH,3.3901575
848,SQSTM1,-4.844332
849,ZNF485,-1.4379857
850,PRKCI,-0.36847654
851,ITGA6,2.0258303
852,RPL10L,-0.81633097
853,GJA1,-1.6000572
854,TRIP10,-2.3458712
855,ABCA12,-0.12947242
856,OR6C65,5.079196
857,SMO,2.4792166
858,DDB1,-3.437781
859,DYNC1I1,-0.25178632
860,ZYX,-0.32769796
861,GRIK3,-2.7805603
862,SRSF9,1.2324429
863,CER1,0.23425117
864,AQP1,-1.1117017
865,CASP1,-5.2925806
866,MMP16,-0.41970456
867,CNTN2,-0.3135378
868,ALDH8A1,-0.19340932
869,DCN,-0.27269772
870,ASS1,0.3671291
871,GPX1,1.7319791
872,NCF2,-0.06913625
873,OR51I2,3.7804875
874,IQSEC1,-1.3349817
875,ZNF700,3.2146146
876,OR5B17,-0.5134184
877,GBA3,-2.8417597
878,THOC2,0.18454795
879,HSPA2,0.48514253
880,EEF2,1.3251511
881,ZNF566,-0.44992372
882,MED1,0.011363492
883,SERPINE1,4.4163566
884,GALNT9,-1.871483
885,PANK3,2.5194392
886,HES1,2.0822372
887,SIRT7,1.5767937
888,WNT2B,2.8144886
889,CSGALNACT1,-3.2711468
890,TRHR,-2.6095338
891,UTP14C,-2.842532
892,SULT2B1,-0.79439825
893,SF3B5,-0.75498056
894,PTPRN,-1.0222979
895,NADK2,2.943039
896,OR52N2,2.1618996
897,DHX33,-0.3412007
898,ALOX12,0.20651752
899,KMT2D,-0.926638
900,DLL3,-8.6823845
901,ARFGAP2,1.3328094
902,FANCL,-2.2772915
903,ACIN1,-0.14595777
904,ST3GAL5,-2.5077312
905,WASF1,-3.7091913
906,SOD2,-0.83392036
907,OR2S2,-0.4297666
908,RELN,-0.3583049
909,PLRG1,-1.3390987
910,ADCY5,-0.59056824
911,RPL7,-1.4893723
912,ERBB4,-0.40625665
913,PRKCD,14.587884
914,ETNPPL,0.1747914
915,CRYL1,2.449279
916,MAP4K3,0.093205735
917,DES,0.12769115
918,RAG2,-1.1089946
919,UBE2R2,-0.09902791
920,ADCY9,13.542589
921,MAP1LC3C,-0.34602806
922,SEC31B,-1.0898715
923,CIITA,3.006143
924,BAX,1.0438935
925,CORO1A,0.2942729
926,CASP7,-3.1170037
927,LIPG,1.1690216
928,KLHL9,-0.24062653
929,SLC27A5,4.1090894
930,POMGNT1,-2.0675168
931,LIPA,1.0544821
932,PTGIR,-2.2533267
933,GAPDH,2.6330864
934,ACP1,-3.3286707
935,EDC3,0.25953346
936,CAMK2B,0.79960454
937,MAPKAP1,-0.015521125
938,IL37,0.21224868
939,GABBR1,-7.1062784
940,CCNT2,-0.019275213
941,IST1,-0.8909616
942,PIK3C2B,-3.3351173
943,GGCX,1.889761
944,CPEB4,2.0841978
945,ZEB1,-0.2637202
946,PRPF8,1.1720369
947,OCLN,4.7575207
948,ACACB,-1.4463545
949,MAN1C1,-4.031595
950,MEF2C,-7.989592
951,EEF1A2,1.6487893
952,ATP6V0B,2.5841827
953,ADIPOQ,1.2133638
954,ZNF782,-0.1423556
955,OR4S1,0.5041149
956,KRT13,-0.35239682
957,ZNF211,-0.39498207
958,ATG16L1,-0.3365732
959,DUSP10,0.116884075
960,ZNF675,3.0872836
961,CASP8,-2.7440786
962,WEE1,-0.68744737
963,ST3GAL3,6.8106947
964,LMO7,-0.8406063
965,SARDH,1.547698
966,FER,0.72972196
967,TGIF1,1.2677966
968,GYS2,-8.006532
969,TSHR,2.583883
970,EPAS1,1.4402847
971,IDH2,1.4104654
972,ANAPC4,0.6955533
973,EARS2,-3.4850469
974,VPS35,-0.7524969
975,ADAM10,0.099428035
976,OR7D4,-3.304087
977,DTX4,-4.423167
978,RAP1GAP,-1.2710216
979,CNGB1,3.0380526
980,ZNF83,2.4982421
981,SEPHS1,-2.8923578
982,OR4C11,-6.416176
983,RPL23,2.026258
984,DNAH3,0.0020413434
